type,lat,lng
convenience,37.54942737,126.92055456
convenience,37.54978850,126.92397091
convenience,37.54992735,126.92310987
convenience,37.55006626,126.92497081
convenience,37.55017729,126.92127670
convenience,37.55023282,126.91983238
convenience,37.55028842,126.92288766
convenience,37.55064948,126.92213772
convenience,37.55081612,126.92183219
convenience,37.55092719,126.92019344
convenience,37.55151051,126.92322093
convenience,37.55156602,126.92147109
convenience,37.55170483,126.91777698
convenience,37.55176064,126.93252563
convenience,37.55189928,126.91922128
convenience,37.55234372,126.92213767
convenience,37.55248254,126.91927682
convenience,37.55256594,126.92324867
convenience,37.55259390,126.93371994
convenience,37.55292720,126.93388658
convenience,37.55306584,126.92069334
convenience,37.55314924,126.92516515
convenience,37.55317699,126.92394304
convenience,37.55334370,126.92738716
convenience,37.55353800,126.92038780
convenience,37.55373235,126.91627705
convenience,37.55373257,126.92905367
convenience,37.55378804,126.92449853
convenience,37.55398234,126.91752693
convenience,37.55398249,126.92591506
convenience,37.55398264,126.93408098
convenience,37.55403791,126.91897124
convenience,37.55412130,126.92260980
convenience,37.55412139,126.92758157
convenience,37.55426016,126.92180431
convenience,37.55434359,126.92777599
convenience,37.55434365,126.93091459
convenience,37.55437124,126.92072108
convenience,37.55439913,126.92722048
convenience,37.55445483,126.93544195
convenience,37.55470473,126.93158119
convenience,37.55484363,126.93344213
convenience,37.55492682,126.92597058
convenience,37.55495441,126.91549931
convenience,37.55495465,126.92897031
convenience,37.55501004,126.92016555
convenience,37.55503784,126.92105436
convenience,37.55517665,126.91777688
convenience,37.55520451,126.92277642
convenience,37.55528805,126.93483087
convenience,37.55548240,126.93094234
convenience,37.55562119,126.92580391
convenience,37.55570465,126.93385873
convenience,37.55573217,126.91919340
convenience,37.55578779,126.92319303
convenience,37.55578781,126.92441514
convenience,37.55578787,126.92760930
convenience,37.55581570,126.93077567
convenience,37.55595429,126.91522153
convenience,37.55606559,126.92658160
convenience,37.55623234,126.93191445
convenience,37.55628775,126.92435958
convenience,37.55628779,126.92652605
convenience,37.55628784,126.92972020
convenience,37.55651001,126.92772038
convenience,37.55651011,126.93338653
convenience,37.55656539,126.91869342
convenience,37.55662096,126.91994331
convenience,37.55662100,126.92216533
convenience,37.55675979,126.91719355
convenience,37.55687100,126.92363741
convenience,37.55687119,126.93444198
convenience,37.55689882,126.92616495
convenience,37.55695455,126.93621959
convenience,37.55703785,126.93460862
convenience,37.55706546,126.92547057
convenience,37.55709315,126.92074877
convenience,37.55717636,126.91469377
convenience,37.55717650,126.92235974
convenience,37.55717661,126.92830364
convenience,37.55720438,126.92824809
convenience,37.55731556,126.93285878
convenience,37.55737100,126.92697042
convenience,37.55750968,126.91597142
convenience,37.55756536,126.92330408
convenience,37.55759327,126.93116448
convenience,37.55762098,126.92738704
convenience,37.55767654,126.92794255
convenience,37.55773197,126.92141536
convenience,37.55803745,126.91911001
convenience,37.55809328,126.93488635
convenience,37.55812087,126.92419288
convenience,37.55812089,126.92524834
convenience,37.55831523,126.92113759
convenience,37.55839878,126.93344202
convenience,37.55848182,126.91758236
convenience,37.55850980,126.92913686
convenience,37.55856516,126.91869336
convenience,37.55862087,126.92752589
convenience,37.55864873,126.93221991
convenience,37.55889853,126.92260966
convenience,37.55898206,126.93463634
convenience,37.55900951,126.91647133
convenience,37.55903752,126.92941460
convenience,37.55906521,126.92474835
convenience,37.55970397,126.92180416
convenience,37.55973183,126.92669260
convenience,37.55978740,126.92777584
convenience,37.55989861,126.93408081
convenience,37.55992613,126.91963768
convenience,37.56009272,126.91633243
convenience,37.56012065,126.92530383
convenience,37.56045386,126.92063758
convenience,37.56059280,126.92435946
convenience,37.56067611,126.92324845
convenience,37.56092622,126.93133103
convenience,37.56103723,126.92599818
convenience,37.56114818,126.91766561
convenience,37.56164828,126.92699808
convenience,37.56170378,126.92410945
convenience,37.56170385,126.92780356
convenience,37.56178712,126.92477605
convenience,37.56184264,126.92324841
